experiment,role,num_samples,crack_epe,global_epe,dice,crack_edge,global_edge,folding,delta_crack_epe_vs_v4,delta_global_epe_vs_v4,delta_dice_vs_v4,delta_crack_edge_vs_v4,delta_global_edge_vs_v4,delta_folding_vs_v4,v4_better_images,other_better_images
v3_mag_ft_w005_10ep,上一版主线,1000,111.8067626953125,110.8862533569336,0.26030823588371277,0.20230279862880707,0.22491158545017242,0.5867791771888733,1.0489501953125,1.106353759765625,0.0006098449230194092,0.0052800774574279785,0.006155028939247131,0.003967404365539551,796,204
v4_robust_edge_10ep,EPE/Dice 保守主模型,1000,110.7578125,109.77989959716797,0.2609180808067322,0.20758287608623505,0.23106661438941956,0.5828117728233337,0.0,0.0,0.0,0.0,0.0,0.0,0,0
v5_jacobian_roi_w002_10ep_lr1e6,综合质量/几何稳定增强主模型,1000,110.82768249511719,109.88904571533203,0.2594914138317108,0.2229854166507721,0.2497996985912323,0.5778985619544983,0.0698699951171875,0.1091461181640625,0.0014266669750213623,-0.015402540564537048,-0.018733084201812744,-0.004913210868835449,394,606
abl_edge_only_2ep,消融：仅边缘一致性,1000,111.45211791992188,110.2412338256836,0.26091426610946655,0.20282615721225739,0.22749611735343933,0.5846057534217834,0.694305419921875,0.461334228515625,3.814697265625e-06,0.004756718873977661,0.0035704970359802246,0.001793980598449707,684,316
abl_no_over_penalty_2ep,消融：去掉过大位移惩罚,1000,111.26720428466797,110.4033432006836,0.26080065965652466,0.2029084712266922,0.22470860183238983,0.5859776735305786,0.5093917846679688,0.623443603515625,0.00011742115020751953,0.004674404859542847,0.006358012557029724,0.003165900707244873,732,268
abl_robust_only_2ep,消融：仅鲁棒位移约束,1000,111.6507797241211,110.48177337646484,0.26081961393356323,0.20411169528961182,0.2264387160539627,0.5851160883903503,0.8929672241210938,0.701873779296875,9.846687316894531e-05,0.00347118079662323,0.004627898335456848,0.0023043155670166016,688,312
abl_edge_w003_2ep,消融：较低边缘权重,1000,111.52979278564453,110.52729797363281,0.2601679861545563,0.20521636307239532,0.2283705472946167,0.5856254696846008,0.7719802856445312,0.7473983764648438,0.0007500946521759033,0.0023665130138397217,0.0026960670948028564,0.00281369686126709,728,272
unimatch_oracle_pair,外部对比：UniMatch oracle-pair,1000,3.8106448650360107,1.6761831045150757,0.7155169248580933,0.7506792545318604,0.8137548565864563,0.032983820885419846,-106.94716763496399,-108.1037164926529,-0.4545988440513611,-0.5430963784456253,-0.5826882421970367,-0.5498279519379139,0,1000
searaft_oracle_pair,外部对比：SEA-RAFT oracle-pair,1000,3.140002489089966,1.953668236732483,0.7187568545341492,0.6942243576049805,0.7111497521400452,0.03035697713494301,-107.61781001091003,-107.82623136043549,-0.457838773727417,-0.4866414815187454,-0.4800831377506256,-0.5524547956883907,0,1000
