experiment,role,num_samples,crack_epe,global_epe,dice,crack_edge,global_edge,folding,delta_crack_epe_vs_v4,delta_global_epe_vs_v4,delta_dice_vs_v4,delta_crack_edge_vs_v4,delta_global_edge_vs_v4,delta_folding_vs_v4,v4_better_images,other_better_images
v4_robust_edge_10ep_all,全量：EPE/Dice 保守主模型,10360,114.41632843017578,111.96476745605469,0.27601107954978943,0.11125008761882782,0.09820624440908432,0.5836426615715027,0.0,0.0,0.0,0.0,0.0,0.0,0,0
v5_jacobian_roi_w002_10ep_lr1e6_all,全量：folding 最优几何稳定候选,10360,114.44013214111328,112.24691009521484,0.2749652564525604,0.12024141103029251,0.10908269137144089,0.5794041752815247,0.0238037109375,0.28214263916015625,0.001045823097229004,-0.008991323411464691,-0.010876446962356567,-0.004238486289978027,4857,5503
v6_recover_epe_from_v5_10ep_all,全量：edge 增强补充实验,10360,114.49464416503906,112.07028198242188,0.2742067575454712,0.12476617842912674,0.11429645866155624,0.5820378661155701,0.07831573486328125,0.1055145263671875,0.0018043220043182373,-0.01351609081029892,-0.016090214252471924,-0.0016047954559326172,4650,5710
