image,score_new_minus_old,old_crack_epe_px,new_crack_epe_px,delta_crack_epe_px_positive_is_better,old_global_epe_px,new_global_epe_px,delta_global_epe_px_positive_is_better,old_warp_crack_dice,new_warp_crack_dice,delta_warp_crack_dice_positive_is_better,old_crack_edge_fidelity,new_crack_edge_fidelity,delta_crack_edge_fidelity_positive_is_better,old_global_edge_fidelity,new_global_edge_fidelity,delta_global_edge_fidelity_positive_is_better,old_folding_rate,new_folding_rate,delta_folding_rate_positive_is_better,old_crack_ratio,new_crack_ratio,joint_failure_score
crack0001_00.png,205.29702054262162,103.72444915771484,7.012289047241211,96.71216011047363,111.49365234375,4.2994890213012695,107.19416332244873,0.22411367297172546,0.6310976147651672,0.4069839417934418,0.4565349221229553,0.7397874593734741,0.2832525372505188,0.44034314155578613,0.7070722579956055,0.26672911643981934,0.5838331580162048,0.03837370127439499,0.5454594567418098,0.20257893204689026,0.20257893204689026,65.27487504482269
crack0001_01.png,226.10412294268608,120.9936752319336,4.518399238586426,116.47527599334717,109.30009460449219,3.066608428955078,106.23348617553711,0.23676051199436188,0.6368368864059448,0.40007637441158295,0.36927932500839233,0.7086739540100098,0.33939462900161743,0.37300002574920654,0.6862666010856628,0.3132665753364563,0.5796962976455688,0.04085736349225044,0.5388389341533184,0.22484156489372253,0.22484156489372253,71.73825842142105
crack0001_02.png,220.07399359941482,104.33987426757812,3.7150614261627197,100.6248128414154,111.73767852783203,2.396885395050049,109.34079313278198,0.2121712565422058,0.6666211485862732,0.4544498920440674,0.24472719430923462,0.6972418427467346,0.4525146484375,0.31899333000183105,0.7182706594467163,0.39927732944488525,0.578262209892273,0.046855054795742035,0.5314071550965309,0.1662106215953827,0.1662106215953827,64.42768085002899
crack0001_03.png,209.46163244247435,104.47576904296875,1.1582132577896118,103.31755578517914,112.85169219970703,1.8077664375305176,111.04392576217651,0.2833058536052704,0.6331902742385864,0.34988442063331604,0.40856701135635376,0.7229297161102295,0.31436270475387573,0.39563435316085815,0.6793503165245056,0.28371596336364746,0.5808880925178528,0.051856979727745056,0.5290311127901077,0.2581266462802887,0.2581266462802887,59.05416363477707
crack0001_04.png,206.11105268001558,98.07361602783203,4.264737606048584,93.80887842178345,109.65110778808594,2.7571325302124023,106.89397525787354,0.2420472800731659,0.690424382686615,0.4483771026134491,0.39598459005355835,0.6938811540603638,0.2978965640068054,0.4101026654243469,0.6820951700210571,0.2719925045967102,0.5821491479873657,0.03818531334400177,0.543963834643364,0.19837027788162231,0.19837027788162231,59.93230593204498
crack0001_05.png,207.00913841724395,109.8438949584961,2.3053767681121826,107.53851819038391,106.60081481933594,1.6722540855407715,104.92856073379517,0.2898433208465576,0.5723873972892761,0.2825440764427185,0.40899360179901123,0.7348109483718872,0.325817346572876,0.37932002544403076,0.7081388235092163,0.32881879806518555,0.5815263390541077,0.034951940178871155,0.5465743988752365,0.2655094861984253,0.2655094861984253,61.94509017467499
crack0001_06.png,227.68969356119632,113.00740814208984,2.017307758331299,110.99010038375854,110.99784851074219,2.1748909950256348,108.82295751571655,0.2513969838619232,0.7324419021606445,0.4810449182987213,0.47511255741119385,0.7895455956459045,0.3144330382347107,0.48155301809310913,0.7850747108459473,0.30352169275283813,0.5809265375137329,0.0281891580671072,0.5527373794466257,0.15343789756298065,0.15343789756298065,65.6656004190445
crack0001_07.png,197.30566950142384,97.90674591064453,1.8767632246017456,96.02998268604279,111.06063842773438,1.735755205154419,109.32488322257996,0.2592039108276367,0.5744890570640564,0.3152851462364197,0.4624180197715759,0.7068194150924683,0.24440139532089233,0.4168524742126465,0.6898720264434814,0.27301955223083496,0.5851672291755676,0.021495578810572624,0.563671650364995,0.24245218932628632,0.24245218932628632,57.74620908498764
crack0001_08.png,217.0535513460636,110.9443359375,1.306686282157898,109.6376496553421,110.31718444824219,1.4185519218444824,108.8986325263977,0.31824836134910583,0.6925583481788635,0.3743099868297577,0.502501904964447,0.8085938096046448,0.30609190464019775,0.4812557101249695,0.7649925351142883,0.28373682498931885,0.5798308253288269,0.038131486624479294,0.5416993387043476,0.16685649752616882,0.16685649752616882,60.223842442035675
crack0001_09.png,201.9614072203636,98.4303207397461,2.473503589630127,95.95681715011597,109.55854797363281,2.44939923286438,107.10914874076843,0.27205342054367065,0.6696979999542236,0.397644579410553,0.4262431859970093,0.6839065551757812,0.257663369178772,0.45009005069732666,0.6776501536369324,0.2275601029396057,0.5823990702629089,0.05632833391427994,0.526070736348629,0.2565203905105591,0.2565203905105591,57.42466974258423
