image,score_new_minus_old,old_crack_epe_px,new_crack_epe_px,delta_crack_epe_px_positive_is_better,old_global_epe_px,new_global_epe_px,delta_global_epe_px_positive_is_better,old_warp_crack_dice,new_warp_crack_dice,delta_warp_crack_dice_positive_is_better,old_crack_edge_fidelity,new_crack_edge_fidelity,delta_crack_edge_fidelity_positive_is_better,old_global_edge_fidelity,new_global_edge_fidelity,delta_global_edge_fidelity_positive_is_better,old_folding_rate,new_folding_rate,delta_folding_rate_positive_is_better,old_crack_ratio,new_crack_ratio,joint_failure_score
crack0063_07.png,-28.0290509223938,134.5906219482422,155.19435119628906,-20.603729248046875,131.58895874023438,143.87677001953125,-12.287811279296875,0.3471379280090332,0.31324413418769836,-0.03389379382133484,0.0,0.0,0.0,0.0,0.0,0.0,0.5988427400588989,0.5938100814819336,0.005032658576965332,0.18813607096672058,0.18813607096672058,150.05154812335968
crack0079_09.png,-27.81118564605713,125.1594467163086,145.16355895996094,-20.004112243652344,140.16925048828125,158.27352905273438,-18.104278564453125,0.26826491951942444,0.2590891122817993,-0.009175807237625122,0.0,0.0,0.0,0.0,0.0,0.0,0.6003267765045166,0.5961092114448547,0.004217565059661865,0.1260964274406433,0.1260964274406433,143.62922716140747
crack0063_05.png,-25.06829171180725,208.9848175048828,228.1826934814453,-19.1978759765625,182.80502319335938,193.4544677734375,-10.649444580078125,0.11542585492134094,0.11225412786006927,-0.0031717270612716675,0.0374903678894043,0.0,-0.0374903678894043,0.07873415946960449,0.0,-0.07873415946960449,0.5961207151412964,0.5925528407096863,0.0035678744316101074,0.16991664469242096,0.16991664469242096,235.69333642721176
crack0053_03.png,-18.165654850006103,152.2771453857422,166.9727020263672,-14.695556640625,151.74525451660156,161.6669464111328,-9.92169189453125,0.24044662714004517,0.2579297721385956,0.017483144998550415,0.12709319591522217,0.10036218166351318,-0.026731014251708984,0.13813012838363647,0.10801124572753906,-0.030118882656097412,0.5934640765190125,0.5892348885536194,0.004229187965393066,0.17171522974967957,0.17171522974967957,168.93668913841248
crack0076_04.png,-17.65785508155823,164.7227783203125,176.8077392578125,-12.0849609375,200.13821411132812,211.94717407226562,-11.8089599609375,0.15218299627304077,0.14124558866024017,-0.010937407612800598,0.0,0.0,0.0,0.0,0.0,0.0,0.5895463228225708,0.5889042615890503,0.0006420612335205078,0.11128204315900803,0.11128204315900803,185.87237638235092
crack0052_00.png,-16.227026748657227,116.17820739746094,131.38046264648438,-15.202255249023438,124.46245574951172,124.3538818359375,0.10857391357421875,0.21833088994026184,0.22365215420722961,0.0053212642669677734,0.039020001888275146,0.0,-0.039020001888275146,0.10741990804672241,0.11654144525527954,0.009121537208557129,0.5921568870544434,0.5904844403266907,0.0016724467277526855,0.1221269890666008,0.1221269890666008,134.36575710773468
crack0052_05.png,-15.716769218444824,115.87519836425781,131.3182373046875,-15.443038940429688,122.63008117675781,123.11080932617188,-0.4807281494140625,0.19965055584907532,0.20561373233795166,0.005963176488876343,0.1003117561340332,0.07974809408187866,-0.02056366205215454,0.1339600682258606,0.13060259819030762,-0.0033574700355529785,0.5949327349662781,0.588331401348114,0.0066013336181640625,0.11142157763242722,0.11142157763242722,135.41499388217926
crack0052_07.png,-15.314270734786987,119.94774627685547,131.817138671875,-11.869392395019531,123.75367736816406,122.89033508300781,0.86334228515625,0.26902279257774353,0.22092358767986298,-0.048099204897880554,0.0,0.0015429854393005371,0.0015429854393005371,0.058027565479278564,0.08623236417770386,0.028204798698425293,0.5956363081932068,0.5957362651824951,-9.995698928833008e-05,0.1146358922123909,0.1146358922123909,136.45647782087326
crack0053_05.png,-14.88189730644226,156.78091430664062,168.64895629882812,-11.8680419921875,147.30734252929688,152.89219665527344,-5.5848541259765625,0.1294638067483902,0.1574477255344391,0.02798391878604889,0.24686968326568604,0.17188072204589844,-0.0749889612197876,0.14340358972549438,0.04547429084777832,-0.09792929887771606,0.5977393388748169,0.5982160568237305,-0.0004767179489135742,0.13138458132743835,0.13138458132743835,178.87574917078018
crack0051_07.png,-14.79218158721924,128.7218780517578,141.64108276367188,-12.919204711914062,136.02777099609375,139.151611328125,-3.12384033203125,0.28324297070503235,0.2512226700782776,-0.03202030062675476,0.15403789281845093,0.19727522134780884,0.04323732852935791,0.26482445001602173,0.27771687507629395,0.012892425060272217,0.5986313223838806,0.5934140682220459,0.005217254161834717,0.18831858038902283,0.18831858038902283,144.0533730983734
