image,old_global_epe_px,new_global_epe_px,old_crack_epe_px,new_crack_epe_px,old_folding_rate,new_folding_rate,old_disp_mag_mean_px,new_disp_mag_mean_px,old_disp_mag_p95_px,new_disp_mag_p95_px
crack0063_07.png,131.58895874023438,143.87677001953125,134.59062834093086,155.19434723012725,0.3988609313964844,0.4003486633300781,130.78038024902344,142.12826538085938,234.99078369140625,253.4945526123047
crack0079_09.png,140.16925048828125,158.27352905273438,125.15944481498165,145.16355344504282,0.4028739929199219,0.4070625305175781,140.52664184570312,157.06649780273438,232.75050354003906,254.45150756835938
crack0063_05.png,182.80502319335938,193.4544677734375,208.9848136173625,228.18269261547465,0.4033851623535156,0.41048431396484375,182.94528198242188,193.5590057373047,318.89874267578125,336.5194396972656
crack0053_03.png,151.74525451660156,161.6669464111328,152.2771394460106,166.9726958921047,0.4029808044433594,0.4091835021972656,151.28883361816406,162.1355743408203,254.69972229003906,270.4246826171875
crack0076_04.png,200.13821411132812,211.9471893310547,164.72277151688905,176.80773201808807,0.4150886535644531,0.41582489013671875,201.8555450439453,213.62823486328125,369.68402099609375,386.6748046875
crack0052_00.png,124.46245574951172,124.3538818359375,116.17820754243314,131.3804695293146,0.4001045227050781,0.4075431823730469,125.28511047363281,124.44281005859375,229.9889678955078,225.16262817382812
crack0052_05.png,122.63008117675781,123.11080932617188,115.8751981895252,131.31823806360936,0.396728515625,0.4023475646972656,122.62782287597656,122.40433502197266,233.98431396484375,224.5697479248047
crack0052_07.png,123.75367736816406,122.89033508300781,119.94774371710074,131.81713836628208,0.39588165283203125,0.4047393798828125,124.7387924194336,124.59080505371094,234.4903564453125,232.21524047851562
crack0053_05.png,147.30734252929688,152.89219665527344,156.78091338732708,168.64896116283526,0.39785003662109375,0.3994789123535156,147.8548126220703,154.22830200195312,245.74900817871094,264.5564270019531
crack0051_07.png,136.02777099609375,139.151611328125,128.72188504275175,141.6410790256504,0.40399932861328125,0.40444183349609375,134.1434783935547,136.36233520507812,232.811279296875,235.7411651611328
crack0017_09.png,137.00741577148438,145.37701416015625,124.79269558204123,135.33397233601767,0.3959617614746094,0.40436553955078125,133.77749633789062,141.4754180908203,234.511962890625,242.1753692626953
crack0024_08.png,176.14315795898438,178.125732421875,164.8831886815357,176.49108881982698,0.3988685607910156,0.40415191650390625,177.362548828125,179.19760131835938,308.01007080078125,307.8570556640625
crack0100_09.png,159.22628784179688,168.65835571289062,150.57415454576812,160.4626945379234,0.4035491943359375,0.4035530090332031,161.7671356201172,171.32034301757812,260.6358337402344,277.708740234375
crack0024_05.png,123.11196899414062,127.96143341064453,126.11778373945094,137.0233039866267,0.400299072265625,0.40166473388671875,124.16911315917969,129.51473999023438,240.84986877441406,248.60067749023438
crack0024_03.png,117.53730010986328,121.68172454833984,131.72998167904947,141.75609031568555,0.3978462219238281,0.406646728515625,118.88996887207031,122.721923828125,226.73019409179688,231.35169982910156
crack0016_06.png,170.39649963378906,179.03575134277344,165.90510770048684,172.9086407467552,0.4039192199707031,0.40619659423828125,172.67083740234375,180.91439819335938,292.5701904296875,309.8950500488281
crack0052_02.png,125.19862365722656,122.96846008300781,125.87670999670233,137.7210647307637,0.40547943115234375,0.40662384033203125,128.44378662109375,126.0439682006836,233.87721252441406,229.0889434814453
crack0052_06.png,121.16084289550781,120.32308959960938,122.5113467517675,135.28008622815875,0.3982048034667969,0.40283966064453125,120.49009704589844,119.01271057128906,223.9303741455078,219.23641967773438
crack0052_09.png,126.5630874633789,127.8451156616211,120.31083032275875,131.74615444197948,0.4011993408203125,0.4082756042480469,123.93148040771484,125.53504180908203,227.87640380859375,224.5637969970703
crack0024_09.png,122.03399658203125,127.01759338378906,127.43594900018098,135.96031820520986,0.4012794494628906,0.4086799621582031,121.22891235351562,125.82611846923828,224.73907470703125,230.12203979492188
