image,old_global_epe_px,new_global_epe_px,old_crack_epe_px,new_crack_epe_px,old_folding_rate,new_folding_rate,old_disp_mag_mean_px,new_disp_mag_mean_px,old_disp_mag_p95_px,new_disp_mag_p95_px
crack0038_01.png,107.42813873291016,104.63114166259766,115.1546718698625,111.15093301159256,0.3899955749511719,0.38761138916015625,106.08440399169922,103.89752960205078,210.39878845214844,208.89646911621094
crack0038_08.png,112.28704833984375,111.23710632324219,120.94470067859692,118.70350270721832,0.396514892578125,0.3995704650878906,109.11409759521484,108.36810302734375,211.91725158691406,210.249267578125
crack0038_07.png,113.78133392333984,112.66170501708984,122.7391727773379,117.08223714250707,0.3979682922363281,0.3934478759765625,111.53947448730469,111.14546966552734,212.3380889892578,212.08213806152344
crack0027_05.png,106.36430358886719,104.72390747070312,122.71022703800958,117.61087420745817,0.3901786804199219,0.38935089111328125,102.66915130615234,101.250244140625,210.80670166015625,208.4697265625
crack0090_08.png,115.51836395263672,112.96284484863281,118.18182459101271,112.66684280918577,0.3892250061035156,0.3927574157714844,113.74873352050781,111.348876953125,216.77975463867188,213.20603942871094
crack0015_04.png,109.38908386230469,107.23648071289062,124.76234459469937,121.609933533045,0.3884696960449219,0.3905029296875,105.45138549804688,103.32260131835938,211.1046600341797,207.40057373046875
crack0042_03.png,112.2232666015625,109.99705505371094,116.74598050865237,115.08346194954856,0.3948707580566406,0.3974456787109375,107.05958557128906,105.12864685058594,211.76016235351562,209.23284912109375
crack0007_05.png,111.4696273803711,110.01705169677734,112.22136340684585,108.90678752749929,0.3940238952636719,0.3959846496582031,112.02830505371094,110.78553771972656,215.44317626953125,213.427734375
crack0082_03.png,115.87940979003906,114.2795181274414,141.16658977076708,136.66127148409086,0.3909912109375,0.38994598388671875,113.21206665039062,112.32266998291016,226.00436401367188,222.07696533203125
crack0074_08.png,118.3572006225586,115.65266418457031,120.434082765003,116.54969627123904,0.3970680236816406,0.3954429626464844,119.1382827758789,116.52760314941406,223.4483642578125,219.9121551513672
crack0015_05.png,123.721923828125,121.16539001464844,142.75142287178858,139.27132622077372,0.3961029052734375,0.3953857421875,117.79643249511719,115.39573669433594,224.09451293945312,220.66946411132812
crack0029_04.png,113.78890991210938,112.59178161621094,107.12424856827802,107.90364324620799,0.39463043212890625,0.3937339782714844,107.99200439453125,106.85049438476562,215.7420196533203,212.13340759277344
crack0090_02.png,109.9566879272461,108.13240814208984,105.95414413429434,101.09380587537741,0.38636016845703125,0.38428497314453125,107.37228393554688,105.69923400878906,213.33030700683594,210.34237670898438
crack0090_03.png,113.60418701171875,110.63966369628906,111.71310759726084,106.71551225081762,0.3902015686035156,0.38726806640625,112.43473815917969,109.85688781738281,212.09744262695312,209.76361083984375
crack0029_07.png,111.90573120117188,110.7340087890625,94.55695083268054,95.03669443128612,0.3913726806640625,0.391571044921875,108.00102233886719,107.0135269165039,213.91571044921875,211.7064666748047
crack0042_01.png,114.84636688232422,112.05203247070312,121.47424947241646,120.56011160304543,0.3939094543457031,0.3932228088378906,112.79812622070312,110.15644836425781,219.38743591308594,214.32748413085938
crack0007_08.png,106.7303695678711,105.19281768798828,100.56403266312795,95.03140731214185,0.3887214660644531,0.39571380615234375,106.6513442993164,105.34456634521484,210.6562957763672,208.7633514404297
crack0029_03.png,104.04866027832031,103.13270568847656,104.01138100521948,105.47826187044853,0.3913116455078125,0.396270751953125,103.5509033203125,102.665283203125,209.93460083007812,207.5166015625
crack0090_00.png,109.88284301757812,107.26311492919922,112.33588057327505,108.06339255148582,0.3927764892578125,0.3965034484863281,109.27493286132812,106.9993896484375,214.20492553710938,211.35528564453125
crack0015_06.png,117.21426391601562,115.18077087402344,121.36126461340638,118.15043375345535,0.392059326171875,0.395050048828125,107.86767578125,105.8382797241211,213.716552734375,211.25112915039062
