[2026-07-02 03:28:50] Epoch 32/80 | Train Loss: 0.09002 EPE: 24.719px | Val Loss: 0.08742 EPE: 25.894px CrackEPE: 25.346px | LR: 3.00e-06 | Time: 490.6s
[2026-07-02 03:37:01] Epoch 33/80 | Train Loss: 0.08979 EPE: 24.681px | Val Loss: 0.08645 EPE: 25.663px CrackEPE: 25.006px | LR: 2.99e-06 | Time: 490.7s
[2026-07-02 03:45:11] Epoch 34/80 | Train Loss: 0.08967 EPE: 24.670px | Val Loss: 0.08618 EPE: 25.574px CrackEPE: 24.945px | LR: 2.97e-06 | Time: 490.2s
[2026-07-02 03:53:22] Epoch 35/80 | Train Loss: 0.08951 EPE: 24.582px | Val Loss: 0.08653 EPE: 25.646px CrackEPE: 25.084px | LR: 2.95e-06 | Time: 490.3s
[2026-07-02 04:01:32] Epoch 36/80 | Train Loss: 0.08976 EPE: 24.685px | Val Loss: 0.08621 EPE: 25.564px CrackEPE: 24.966px | LR: 2.93e-06 | Time: 490.3s
[2026-07-02 04:09:42] Epoch 37/80 | Train Loss: 0.08965 EPE: 24.600px | Val Loss: 0.08614 EPE: 25.502px CrackEPE: 24.924px | LR: 2.90e-06 | Time: 490.2s
[2026-07-02 04:17:53] Epoch 38/80 | Train Loss: 0.08924 EPE: 24.587px | Val Loss: 0.08591 EPE: 25.432px CrackEPE: 24.817px | LR: 2.86e-06 | Time: 490.2s
[2026-07-02 04:26:04] Epoch 39/80 | Train Loss: 0.08920 EPE: 24.538px | Val Loss: 0.08579 EPE: 25.434px CrackEPE: 24.768px | LR: 2.82e-06 | Time: 490.5s
[2026-07-02 04:34:14] Epoch 40/80 | Train Loss: 0.08932 EPE: 24.594px | Val Loss: 0.08587 EPE: 25.436px CrackEPE: 24.794px | LR: 2.77e-06 | Time: 490.2s
[2026-07-02 04:42:24] Epoch 41/80 | Train Loss: 0.08935 EPE: 24.545px | Val Loss: 0.08500 EPE: 25.180px CrackEPE: 24.484px | LR: 2.72e-06 | Time: 490.2s
[2026-07-02 04:50:36] Epoch 42/80 | Train Loss: 0.08893 EPE: 24.516px | Val Loss: 0.08599 EPE: 25.438px CrackEPE: 24.835px | LR: 2.67e-06 | Time: 490.7s
[2026-07-02 04:58:46] Epoch 43/80 | Train Loss: 0.08903 EPE: 24.464px | Val Loss: 0.08590 EPE: 25.417px CrackEPE: 24.764px | LR: 2.61e-06 | Time: 490.3s
[2026-07-02 05:06:56] Epoch 44/80 | Train Loss: 0.08894 EPE: 24.444px | Val Loss: 0.08534 EPE: 25.296px CrackEPE: 24.559px | LR: 2.54e-06 | Time: 490.0s
[2026-07-02 05:15:06] Epoch 45/80 | Train Loss: 0.08856 EPE: 24.419px | Val Loss: 0.08496 EPE: 25.183px CrackEPE: 24.452px | LR: 2.47e-06 | Time: 490.5s
[2026-07-02 05:23:17] Epoch 46/80 | Train Loss: 0.08871 EPE: 24.447px | Val Loss: 0.08424 EPE: 24.976px CrackEPE: 24.183px | LR: 2.40e-06 | Time: 490.3s
[2026-07-02 05:31:28] Epoch 47/80 | Train Loss: 0.08865 EPE: 24.419px | Val Loss: 0.08483 EPE: 25.122px CrackEPE: 24.399px | LR: 2.33e-06 | Time: 490.4s
[2026-07-02 05:39:38] Epoch 48/80 | Train Loss: 0.08869 EPE: 24.498px | Val Loss: 0.08411 EPE: 24.957px CrackEPE: 24.114px | LR: 2.25e-06 | Time: 490.3s
[2026-07-02 05:47:49] Epoch 49/80 | Train Loss: 0.08863 EPE: 24.428px | Val Loss: 0.08424 EPE: 25.003px CrackEPE: 24.148px | LR: 2.17e-06 | Time: 490.4s
[2026-07-02 05:55:59] Epoch 50/80 | Train Loss: 0.08820 EPE: 24.322px | Val Loss: 0.08356 EPE: 24.810px CrackEPE: 23.925px | LR: 2.08e-06 | Time: 490.0s
[2026-07-02 06:04:09] Epoch 51/80 | Train Loss: 0.08830 EPE: 24.310px | Val Loss: 0.08324 EPE: 24.747px CrackEPE: 23.809px | LR: 2.00e-06 | Time: 489.7s
[2026-07-02 06:12:19] Epoch 52/80 | Train Loss: 0.08831 EPE: 24.283px | Val Loss: 0.08303 EPE: 24.687px CrackEPE: 23.728px | LR: 1.91e-06 | Time: 489.6s
[2026-07-02 06:20:29] Epoch 53/80 | Train Loss: 0.08777 EPE: 24.233px | Val Loss: 0.08380 EPE: 24.871px CrackEPE: 23.996px | LR: 1.82e-06 | Time: 489.7s
[2026-07-02 06:28:38] Epoch 54/80 | Train Loss: 0.08781 EPE: 24.278px | Val Loss: 0.08312 EPE: 24.800px CrackEPE: 23.732px | LR: 1.73e-06 | Time: 489.6s
[2026-07-02 06:36:48] Epoch 55/80 | Train Loss: 0.08783 EPE: 24.188px | Val Loss: 0.08317 EPE: 24.803px CrackEPE: 23.735px | LR: 1.64e-06 | Time: 489.7s
[2026-07-02 06:44:58] Epoch 56/80 | Train Loss: 0.08782 EPE: 24.180px | Val Loss: 0.08299 EPE: 24.757px CrackEPE: 23.640px | LR: 1.55e-06 | Time: 489.5s
[2026-07-02 06:53:08] Epoch 57/80 | Train Loss: 0.08760 EPE: 24.187px | Val Loss: 0.08267 EPE: 24.595px CrackEPE: 23.537px | LR: 1.46e-06 | Time: 489.6s
[2026-07-02 07:01:18] Epoch 58/80 | Train Loss: 0.08751 EPE: 24.151px | Val Loss: 0.08255 EPE: 24.500px CrackEPE: 23.516px | LR: 1.37e-06 | Time: 490.0s
[2026-07-02 07:09:28] Epoch 59/80 | Train Loss: 0.08737 EPE: 24.087px | Val Loss: 0.08271 EPE: 24.562px CrackEPE: 23.573px | LR: 1.28e-06 | Time: 489.8s
[2026-07-02 07:17:38] Epoch 60/80 | Train Loss: 0.08726 EPE: 24.023px | Val Loss: 0.08233 EPE: 24.425px CrackEPE: 23.464px | LR: 1.19e-06 | Time: 489.5s
[2026-07-02 07:25:48] Epoch 61/80 | Train Loss: 0.08731 EPE: 24.078px | Val Loss: 0.08228 EPE: 24.439px CrackEPE: 23.434px | LR: 1.10e-06 | Time: 489.4s
[2026-07-02 07:33:58] Epoch 62/80 | Train Loss: 0.08730 EPE: 24.044px | Val Loss: 0.08197 EPE: 24.389px CrackEPE: 23.296px | LR: 1.02e-06 | Time: 490.0s
[2026-07-02 07:42:08] Epoch 63/80 | Train Loss: 0.08731 EPE: 24.071px | Val Loss: 0.08158 EPE: 24.284px CrackEPE: 23.134px | LR: 9.33e-07 | Time: 489.8s
[2026-07-02 07:50:18] Epoch 64/80 | Train Loss: 0.08729 EPE: 24.004px | Val Loss: 0.08161 EPE: 24.319px CrackEPE: 23.150px | LR: 8.51e-07 | Time: 489.5s
[2026-07-02 07:58:28] Epoch 65/80 | Train Loss: 0.08700 EPE: 24.011px | Val Loss: 0.08157 EPE: 24.286px CrackEPE: 23.144px | LR: 7.73e-07 | Time: 490.1s
[2026-07-02 08:06:38] Epoch 66/80 | Train Loss: 0.08691 EPE: 23.952px | Val Loss: 0.08150 EPE: 24.250px CrackEPE: 23.118px | LR: 6.98e-07 | Time: 489.9s
[2026-07-02 08:14:49] Epoch 67/80 | Train Loss: 0.08682 EPE: 23.940px | Val Loss: 0.08138 EPE: 24.213px CrackEPE: 23.070px | LR: 6.26e-07 | Time: 490.0s
[2026-07-02 08:22:59] Epoch 68/80 | Train Loss: 0.08702 EPE: 24.020px | Val Loss: 0.08118 EPE: 24.159px CrackEPE: 22.988px | LR: 5.57e-07 | Time: 490.1s
[2026-07-02 08:31:09] Epoch 69/80 | Train Loss: 0.08658 EPE: 23.921px | Val Loss: 0.08082 EPE: 24.015px CrackEPE: 22.845px | LR: 4.93e-07 | Time: 490.1s
[2026-07-02 08:39:20] Epoch 70/80 | Train Loss: 0.08652 EPE: 23.922px | Val Loss: 0.08094 EPE: 24.042px CrackEPE: 22.883px | LR: 4.33e-07 | Time: 490.2s
[2026-07-02 08:47:30] Epoch 71/80 | Train Loss: 0.08669 EPE: 23.857px | Val Loss: 0.08102 EPE: 24.083px CrackEPE: 22.922px | LR: 3.77e-07 | Time: 490.2s
[2026-07-02 08:55:40] Epoch 72/80 | Train Loss: 0.08668 EPE: 23.894px | Val Loss: 0.08132 EPE: 24.153px CrackEPE: 23.035px | LR: 3.26e-07 | Time: 490.1s
[2026-07-02 09:03:51] Epoch 73/80 | Train Loss: 0.08663 EPE: 23.886px | Val Loss: 0.08109 EPE: 24.107px CrackEPE: 22.945px | LR: 2.79e-07 | Time: 490.2s
[2026-07-02 09:12:01] Epoch 74/80 | Train Loss: 0.08648 EPE: 23.869px | Val Loss: 0.08099 EPE: 24.069px CrackEPE: 22.906px | LR: 2.38e-07 | Time: 490.4s
[2026-07-02 09:20:11] Epoch 75/80 | Train Loss: 0.08648 EPE: 23.841px | Val Loss: 0.08096 EPE: 24.035px CrackEPE: 22.892px | LR: 2.02e-07 | Time: 490.4s
[2026-07-02 09:28:22] Epoch 76/80 | Train Loss: 0.08645 EPE: 23.831px | Val Loss: 0.08090 EPE: 24.043px CrackEPE: 22.861px | LR: 1.71e-07 | Time: 490.4s
[2026-07-02 09:36:32] Epoch 77/80 | Train Loss: 0.08651 EPE: 23.826px | Val Loss: 0.08095 EPE: 24.076px CrackEPE: 22.877px | LR: 1.46e-07 | Time: 490.1s
[2026-07-02 09:44:42] Epoch 78/80 | Train Loss: 0.08645 EPE: 23.874px | Val Loss: 0.08094 EPE: 24.070px CrackEPE: 22.874px | LR: 1.26e-07 | Time: 490.0s
[2026-07-02 09:52:52] Epoch 79/80 | Train Loss: 0.08643 EPE: 23.762px | Val Loss: 0.08092 EPE: 24.077px CrackEPE: 22.870px | LR: 1.11e-07 | Time: 490.0s
[2026-07-02 10:01:02] Epoch 80/80 | Train Loss: 0.08633 EPE: 23.768px | Val Loss: 0.08078 EPE: 24.028px CrackEPE: 22.817px | LR: 1.03e-07 | Time: 490.4s
