image,old_global_epe_px,new_global_epe_px,old_crack_epe_px,new_crack_epe_px,old_folding_rate,new_folding_rate,old_disp_mag_mean_px,new_disp_mag_mean_px,old_disp_mag_p95_px,new_disp_mag_p95_px
crack0063_05.png,193.4544677734375,188.6215057373047,228.18269261547465,217.31591146928858,0.41048431396484375,0.410125732421875,193.5590057373047,188.83621215820312,336.5194396972656,320.7546691894531
crack0030_08.png,128.20799255371094,127.8055419921875,204.06617629162022,202.0305366157876,0.3988609313964844,0.4005928039550781,124.70796203613281,124.43144989013672,255.44126892089844,256.2797546386719
crack0030_02.png,131.22933959960938,129.62969970703125,197.31114933309462,195.14511142006307,0.3986549377441406,0.4002571105957031,128.6284637451172,127.2143783569336,253.58206176757812,251.9750213623047
crack0030_05.png,123.20381927490234,121.73881530761719,198.25956129476265,196.62516751381114,0.4019508361816406,0.401031494140625,120.6474380493164,119.10122680664062,243.9784393310547,242.9981689453125
crack0030_04.png,122.85086059570312,121.53071594238281,193.4575445810841,192.30555845650153,0.39554595947265625,0.3976631164550781,120.31566619873047,118.94206237792969,243.06988525390625,242.20628356933594
crack0030_01.png,126.69329071044922,124.99449157714844,187.90853563905702,184.39856693734941,0.3975486755371094,0.4005470275878906,124.59515380859375,123.0235366821289,250.94174194335938,249.7971649169922
crack0030_00.png,117.47451782226562,116.64435577392578,186.74197078087818,184.5977820545882,0.40097808837890625,0.40058135986328125,117.01062774658203,116.37257385253906,242.58682250976562,241.572265625
crack0030_03.png,115.86024475097656,115.24908447265625,185.23615586453593,184.66442603410056,0.3977317810058594,0.3954353332519531,110.5229721069336,109.77912902832031,231.87864685058594,232.98829650878906
crack0076_04.png,211.9471893310547,210.16395568847656,176.80773201808807,178.47472891545493,0.41582489013671875,0.41564178466796875,213.62823486328125,211.7459716796875,386.6748046875,377.46905517578125
crack0030_06.png,131.835693359375,130.3706817626953,177.63264179786637,176.93337873494062,0.4084281921386719,0.4073600769042969,131.23179626464844,130.26156616210938,245.9354248046875,245.38714599609375
crack0030_07.png,115.72062683105469,114.62132263183594,180.74360007650463,178.19531987385633,0.39951324462890625,0.4009284973144531,114.52642059326172,113.59149169921875,235.8291015625,234.74522399902344
crack0030_09.png,116.73577117919922,115.59651184082031,180.87851083058558,178.91938019087215,0.4042243957519531,0.4057731628417969,115.6458740234375,114.40933227539062,241.0192413330078,240.22767639160156
crack0088_01.png,114.84378814697266,114.79893493652344,171.53416498286458,172.74822504194572,0.4020538330078125,0.4027137756347656,107.91705322265625,107.25787353515625,222.34335327148438,221.0023193359375
crack0024_08.png,178.125732421875,170.58926391601562,176.49108881982698,177.31322621774493,0.40415191650390625,0.4076995849609375,179.19760131835938,171.6471710205078,307.8570556640625,294.8619384765625
crack0053_05.png,152.89219665527344,147.1938934326172,168.64896116283526,165.36757358170004,0.3994789123535156,0.4049072265625,154.22830200195312,148.59393310546875,264.5564270019531,251.67820739746094
crack0016_06.png,179.03575134277344,180.62142944335938,172.9086407467552,173.0454177238485,0.40619659423828125,0.4129524230957031,180.91439819335938,182.02378845214844,309.8950500488281,305.47833251953125
crack0077_09.png,107.79119110107422,107.35476684570312,167.95460304978366,165.46634981444882,0.39389801025390625,0.39685821533203125,105.91465759277344,105.56241607666016,215.3988494873047,213.74832153320312
crack0071_06.png,117.58099365234375,115.33638000488281,161.19208056925197,155.52516550359027,0.39632415771484375,0.4042320251464844,116.64835357666016,114.72052001953125,219.8711395263672,219.05393981933594
crack0088_04.png,116.37893676757812,115.40286254882812,160.94752564570464,161.228012093065,0.38921356201171875,0.39124298095703125,110.18128967285156,108.96438598632812,219.5441131591797,217.96987915039062
crack0058_01.png,120.84989166259766,119.81536865234375,170.2211324446305,170.79017200906503,0.3938102722167969,0.39951324462890625,117.99530029296875,116.76289367675781,232.70213317871094,230.1894073486328
